Name,url,tags
Warhammer: Vermintide 2,https://store.steampowered.com/app/552500/Warhammer_Vermintide_2/?snr=1_7_7_7000_150_2,"Co-op,First-Person,Dark Fantasy,Games Workshop,Violent,Hack and Slash,Gore,Online Co-Op,Action,Action RPG,Fantasy,Multiplayer,PvE,Atmospheric,Roguelite,FPS,Singleplayer,Survival,Adventure,Indie"
RimWorld,https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_7000_150_2,"Colony Sim,Base Building,Survival,Strategy,Sandbox,Management,Building,Simulation,Singleplayer,City Builder,Moddable,Open World,Procedural Generation,2D,Sci-fi,Indie,Space,Tactical RPG,Western,Cartoony"
"Warhammer 40,000: Darktide",https://store.steampowered.com/app/1361210/Warhammer_40000_Darktide/?snr=1_7_7_7000_150_2,"Warhammer 40K,Gore,Adventure,Online Co-Op,Multiplayer,PvE,FPS,Survival Horror,Shooter,Hack and Slash,Character Customization,First-Person,Co-op,Action,Violent,Atmospheric,Sci-fi,Dark Fantasy,Looter Shooter,Horror"
Vampyr,https://store.steampowered.com/app/427290/Vampyr/?snr=1_7_7_7000_150_2,"Vampire,RPG,Choices Matter,Story Rich,Open World,Action,Singleplayer,Atmospheric,Third Person,Horror,Dark Fantasy,Violent,Dark,Gore,Adventure,Sexual Content,Great Soundtrack,Stealth,Souls-like,Nudity"
Garry's Mod,https://store.steampowered.com/app/4000/Garrys_Mod/?snr=1_7_7_7000_150_2,"Sandbox,Multiplayer,Funny,Moddable,Building,Mod,Comedy,Co-op,First-Person,Physics,Simulation,Online Co-Op,FPS,Singleplayer,Action,Animation & Modeling,Shooter,Indie,Massively Multiplayer,Adventure"
Hearts of Iron IV,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/?snr=1_7_7_7000_150_2,"Strategy,World War II,Grand Strategy,War,Historical,Military,Alternate History,Multiplayer,Simulation,Tactical,Real-Time with Pause,Singleplayer,RTS,Diplomacy,Sandbox,Co-op,Competitive,Strategy RPG,Open World,Action"
Deep Rock Galactic,https://store.steampowered.com/app/548430/Deep_Rock_Galactic/?snr=1_7_7_7000_150_2,"Co-op,PvE,FPS,Exploration,Procedural Generation,Shooter,Loot,Class-Based,First-Person,Sci-fi,Space,Action,Looter Shooter,Atmospheric,Combat,Horror,Survival,Action Roguelike,Dark,Open World"
Don't Starve Together,https://store.steampowered.com/app/322330/Dont_Starve_Together/?snr=1_7_7_7000_150_3,"Survival,Open World Survival Craft,Multiplayer,Co-op,Open World,Adventure,Crafting,Online Co-Op,Sandbox,Difficult,Indie,2D,Atmospheric,Funny,Survival Horror,Strategy,Horror,Singleplayer,Action,Roguelike"
Medieval Dynasty,https://store.steampowered.com/app/1129580/Medieval_Dynasty/?snr=1_7_7_7000_150_3,"Survival,Building,Open World,Medieval,Singleplayer,RPG,City Builder,Crafting,Simulation,Colony Sim,Sandbox,Adventure,Resource Management,Realistic,Exploration,First-Person,Historical,Action,Co-op,Early Access"
Against the Storm,https://store.steampowered.com/app/1336490/Against_the_Storm/?snr=1_7_7_7000_150_3,"Strategy,Simulation,Base Building,City Builder,Resource Management,Management,Building,Grand Strategy,RTS,Colony Sim,4X,Sandbox,Survival,Singleplayer,Open World,Replay Value,Economy,Historical,Early Access,Moddable"
War Robots,https://store.steampowered.com/app/767560/War_Robots/?snr=1_7_7_7000_150_3,"Free to Play,Action,Robots,Multiplayer,Shooter,Mechs,FPS,PvP,Massively Multiplayer,Controller,War,First-Person,Third-Person Shooter,Third Person,Co-op,Strategy,Singleplayer,MMORPG,VR,RPG"
The Forest,https://store.steampowered.com/app/242760/The_Forest/?snr=1_7_7_7000_150_3,"Open World Survival Craft,Survival,Open World,Horror,Crafting,Adventure,Building,Survival Horror,First-Person,Action,Exploration,Sandbox,Atmospheric,Singleplayer,Simulation,Gore,Realistic,Indie,Early Access,Zombies"
Brotato,https://store.steampowered.com/app/1942280/Brotato/?snr=1_7_7_7000_150_3,"Action Roguelike,Roguelite,Bullet Hell,Arena Shooter,Top-Down Shooter,2D,Casual,RPG,Top-Down,Action,Post-apocalyptic,Procedural Generation,Hand-drawn,Funny,Aliens,Cartoony,Controller,Combat,Perma Death,Cute"
Divinity: Original Sin 2 - Definitive Edition,https://store.steampowered.com/app/435150/Divinity_Original_Sin_2__Definitive_Edition/?snr=1_7_7_7000_150_3,"Tactical RPG,RPG,Turn-Based Strategy,Story Rich,Exploration,Fantasy,CRPG,Party-Based RPG,Character Customization,Strategy RPG,PvP,Female Protagonist,Co-op Campaign,Local Co-Op,Isometric,Choices Matter,Romance,Strategy,Moddable,Funny"
Mount & Blade II: Bannerlord,https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord/?snr=1_7_7_7000_150_3,"Medieval,Strategy,Open World,RPG,War,Sandbox,Multiplayer,Singleplayer,Action,Character Customization,Simulation,Moddable,Adventure,Horses,Realistic,Third Person,First-Person,Historical,Great Soundtrack,Early Access"
eFootball™ 2023,https://store.steampowered.com/app/1665460/eFootball_2023/?snr=1_7_7_7000_150_3,"Football (Soccer),Free to Play,Sports,Multiplayer,eSports,Simulation,Controller,PvP,Local Multiplayer,Co-op,Online Co-Op,Local Co-Op,Singleplayer,Realistic,Comedy,Memes,Violent,LGBTQ+,Anime,Funny"
,https://store.steampowered.com/sub/802975/?snr=1_7_7_7000_150_3,
Warface,https://store.steampowered.com/app/291480/Warface/?snr=1_7_7_7000_150_3,"Free to Play,FPS,Realistic,Multiplayer,Shooter,Action,PvP,Co-op,Gun Customization,Character Customization,First-Person,Online Co-Op,Tactical,Strategy,Massively Multiplayer,Military,Team-Based,Adventure,Moddable,Class-Based"
Scorn,https://store.steampowered.com/app/698670/Scorn/?snr=1_7_7_7000_150_3,"Gore,Horror,Atmospheric,Puzzle,First-Person,Nudity,Sexual Content,Dark,Adventure,Psychological Horror,Violent,Singleplayer,Lovecraftian,Walking Simulator,Sci-fi,Indie,Surreal,Action,Survival Horror,FPS"
7 Days to Die,https://store.steampowered.com/app/251570/7_Days_to_Die/?snr=1_7_7_7000_150_3,"Survival,Zombies,Open World,Multiplayer,Open World Survival Craft,Voxel,Post-apocalyptic,Base Building,Online Co-Op,Exploration,Building,Sandbox,Simulation,FPS,Strategy,Character Customization,Tower Defense,Action,Procedural Generation,Early Access"
Stardew Valley,https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_7_7_7000_150_3,"Farming Sim,Life Sim,Pixel Graphics,Multiplayer,RPG,Relaxing,Agriculture,Simulation,Crafting,Sandbox,Indie,Building,Singleplayer,Casual,Open World,2D,Cute,Great Soundtrack,Dating Sim,Fishing"
Aliens: Dark Descent,https://store.steampowered.com/app/1150440/Aliens_Dark_Descent/?snr=1_7_7_7000_150_3,"Action,Strategy,Tactical,RTS,Sci-fi,Action-Adventure,Singleplayer,Dark,3D,Space,Survival,Aliens,Horror,Violent,Real Time Tactics,Combat,Top-Down,Stealth,Isometric,Multiplayer"
Prison Architect,https://store.steampowered.com/app/233450/Prison_Architect/?snr=1_7_7_7000_150_3,"Simulation,Building,Sandbox,Strategy,Base Building,Colony Sim,Management,City Builder,2D,Top-Down,Economy,Resource Management,Multiplayer,Singleplayer,Capitalism,Moddable,Funny,Replay Value,Indie,Casual"
Dead Cells,https://store.steampowered.com/app/588650/Dead_Cells/?snr=1_7_7_7000_150_4,"Adventure,Action Roguelike,Pixel Graphics,Metroidvania,2D,Souls-like,Roguelike,Replay Value,Hack and Slash,Roguelite,Platformer,Singleplayer,Roguevania,Action,Difficult,Atmospheric,Dark Fantasy,Procedural Generation,Funny,Indie"
Geometry Dash,https://store.steampowered.com/app/322170/Geometry_Dash/?snr=1_7_7_7000_150_4,"Difficult,Music,Great Soundtrack,Precision Platformer,Level Editor,Rhythm,2D,Colorful,Singleplayer,Platformer,Character Customization,Arcade,Indie,Side Scroller,Action,Funny,Family Friendly,Casual,Strategy,Adventure"
ARMORED CORE™ VI FIRES OF RUBICON™,https://store.steampowered.com/app/1888160/ARMORED_CORE_VI_FIRES_OF_RUBICON/?snr=1_7_7_7000_150_4,"Mechs,3D,Third Person,Character Customization,Combat,Action,Post-apocalyptic,Robots,Multiplayer,Futuristic,Fast-Paced,Sci-fi,Soundtrack,Vehicular Combat,Souls-like,Singleplayer,Military,Co-op,Action-Adventure,Online Co-Op"
SMITE®,https://store.steampowered.com/app/386360/SMITE/?snr=1_7_7_7000_150_4,"Free to Play,MOBA,Multiplayer,Anime,Action,Third Person,Mythology,MMORPG,Nostalgia,Team-Based,Competitive,PvP,Strategy,Co-op,Massively Multiplayer,Open World,eSports,RPG,Adventure,Casual"
Left 4 Dead 2,https://store.steampowered.com/app/550/Left_4_Dead_2/?snr=1_7_7_7000_150_4,"Zombies,Co-op,FPS,Multiplayer,Shooter,Online Co-Op,Action,Survival,Horror,First-Person,Gore,Team-Based,Moddable,Survival Horror,Post-apocalyptic,Singleplayer,Adventure,Local Co-Op,Replay Value,Tactical"
Stellaris,https://store.steampowered.com/app/281990/Stellaris/?snr=1_7_7_7000_150_4,"Space,Grand Strategy,Strategy,Sci-fi,4X,Exploration,Sandbox,Simulation,Multiplayer,Real-Time with Pause,Moddable,Singleplayer,Diplomacy,Management,Futuristic,Military,Replay Value,Atmospheric,Great Soundtrack,Procedural Generation"
Among Us,https://store.steampowered.com/app/945360/Among_Us/?snr=1_7_7_7000_150_4,"Multiplayer,Online Co-Op,Social Deduction,Space,Survival,2D,Funny,Psychological,Co-op,Party Game,Cartoony,Local Multiplayer,Casual,Action,Colorful,PvP,Sci-fi,Minigames,Top-Down,Aliens"
HITMAN 3,https://store.steampowered.com/app/1659040/HITMAN_3/?snr=1_7_7_7000_150_4,"Action,Stealth,Assassin,Sandbox,Singleplayer,VR,Violent,Adventure,Shooter,Third-Person Shooter,Third Person,Realistic,Cinematic,Funny,Puzzle,Gore,Immersive Sim,Open World,Capitalism,Multiplayer"
Friday the 13th: The Game,https://store.steampowered.com/app/438740/Friday_the_13th_The_Game/?snr=1_7_7_7000_150_4,"Horror,Multiplayer,Survival Horror,Survival,Gore,Violent,Co-op,Third Person,Action,Stealth,Psychological Horror,Dark,Mature,Atmospheric,Open World,Funny,Adventure,Singleplayer,Difficult,Nudity"
ARK: Survival Evolved,https://store.steampowered.com/app/346110/ARK_Survival_Evolved/?snr=1_7_7_7000_150_4,"Open World Survival Craft,Survival,Multiplayer,Open World,Dinosaurs,Crafting,Building,Adventure,Base Building,Co-op,Action,First-Person,Sandbox,Massively Multiplayer,Singleplayer,Early Access,RPG,Dragons,Sci-fi,Indie"
Chivalry 2,https://store.steampowered.com/app/1824220/Chivalry_2/?snr=1_7_7_7000_150_4,"Medieval,Multiplayer,Swordplay,Action,Combat,First-Person,Wargame,Hack and Slash,War,FPS,3D,Third Person,Military,Atmospheric,Comedy,Historical,Gore,3D Fighter,Tactical,Character Customization"
Wartales,https://store.steampowered.com/app/1527950/Wartales/?snr=1_7_7_7000_150_4,"RPG,Open World,Turn-Based Strategy,Party-Based RPG,Medieval,Co-op,Adventure,Strategy,Singleplayer,Multiplayer,Turn-Based Combat,Exploration,Tactical RPG,Survival,Sandbox,Story Rich,Turn-Based,Indie,Online Co-Op,Violent"
